"Year","Rank","Song Title","Artist(s)","Album"
"10/01/1966","11","Eleanor Rigby","The Beatles","Revolver (Remastered)"
"10/08/1966","16","Yellow Submarine","The Beatles","Revolver (Remastered)"
"10/08/1966","21","Eleanor Rigby","The Beatles","Revolver (Remastered)"
"10/15/1966","32","Yellow Submarine","The Beatles","Revolver (Remastered)"
"10/15/1966","37","Eleanor Rigby","The Beatles","Revolver (Remastered)"
"02/25/1967","83","Strawberry Fields Forever","The Beatles","Magical Mystery Tour (Remastered)"
"02/25/1967","85","Penny Lane","The Beatles","Magical Mystery Tour (Remastered)"
"03/04/1967","36","Penny Lane","The Beatles","Magical Mystery Tour (Remastered)"
"03/04/1967","45","Strawberry Fields Forever","The Beatles","Magical Mystery Tour (Remastered)"
"03/11/1967","5","Penny Lane","The Beatles","Magical Mystery Tour (Remastered)"
"03/11/1967","16","Strawberry Fields Forever","The Beatles","Magical Mystery Tour (Remastered)"
"03/18/1967","1","Penny Lane","The Beatles","Magical Mystery Tour (Remastered)"
"03/18/1967","11","Strawberry Fields Forever","The Beatles","Magical Mystery Tour (Remastered)"
"03/25/1967","3","Penny Lane","The Beatles","Magical Mystery Tour (Remastered)"
"03/25/1967","11","Strawberry Fields Forever","The Beatles","Magical Mystery Tour (Remastered)"
"04/01/1967","3","Penny Lane","The Beatles","Magical Mystery Tour (Remastered)"
"04/01/1967","8","Strawberry Fields Forever","The Beatles","Magical Mystery Tour (Remastered)"
"04/08/1967","6","Penny Lane","The Beatles","Magical Mystery Tour (Remastered)"
"04/08/1967","15","Strawberry Fields Forever","The Beatles","Magical Mystery Tour (Remastered)"
"04/15/1967","12","Penny Lane","The Beatles","Magical Mystery Tour (Remastered)"
"04/15/1967","21","Strawberry Fields Forever","The Beatles","Magical Mystery Tour (Remastered)"
"04/22/1967","21","Penny Lane","The Beatles","Magical Mystery Tour (Remastered)"
"04/22/1967","28","Strawberry Fields Forever","The Beatles","Magical Mystery Tour (Remastered)"
"04/29/1967","25","Penny Lane","The Beatles","Magical Mystery Tour (Remastered)"
"07/22/1967","71","All You Need Is Love","The Beatles","Magical Mystery Tour (Remastered)"
"07/29/1967","29","All You Need Is Love","The Beatles","Magical Mystery Tour (Remastered)"
"07/29/1967","64","Baby You're A Rich Man","The Beatles","Magical Mystery Tour (Remastered)"
"08/05/1967","3","All You Need Is Love","The Beatles","Magical Mystery Tour (Remastered)"
"08/05/1967","41","Baby You're A Rich Man","The Beatles","Magical Mystery Tour (Remastered)"
"08/12/1967","2","All You Need Is Love","The Beatles","Magical Mystery Tour (Remastered)"
"08/12/1967","34","Baby You're A Rich Man","The Beatles","Magical Mystery Tour (Remastered)"
"08/19/1967","1","All You Need Is Love","The Beatles","Magical Mystery Tour (Remastered)"
"08/19/1967","38","Baby You're A Rich Man","The Beatles","Magical Mystery Tour (Remastered)"
"08/26/1967","2","All You Need Is Love","The Beatles","Magical Mystery Tour (Remastered)"
"08/26/1967","41","Baby You're A Rich Man","The Beatles","Magical Mystery Tour (Remastered)"
"09/02/1967","2","All You Need Is Love","The Beatles","Magical Mystery Tour (Remastered)"
"09/09/1967","6","All You Need Is Love","The Beatles","Magical Mystery Tour (Remastered)"
"09/16/1967","8","All You Need Is Love","The Beatles","Magical Mystery Tour (Remastered)"
"09/23/1967","24","All You Need Is Love","The Beatles","Magical Mystery Tour (Remastered)"
"09/30/1967","48","All You Need Is Love","The Beatles","Magical Mystery Tour (Remastered)"
"12/02/1967","45","Hello Goodbye","The Beatles","Magical Mystery Tour (Remastered)"
"12/09/1967","8","Hello Goodbye","The Beatles","Magical Mystery Tour (Remastered)"
"12/09/1967","64","I Am The Walrus","The Beatles","Magical Mystery Tour (Remastered)"
"12/16/1967","3","Hello Goodbye","The Beatles","Magical Mystery Tour (Remastered)"
"12/16/1967","57","I Am The Walrus","The Beatles","Magical Mystery Tour (Remastered)"
"12/23/1967","3","Hello Goodbye","The Beatles","Magical Mystery Tour (Remastered)"
"12/23/1967","56","I Am The Walrus","The Beatles","Magical Mystery Tour (Remastered)"
"12/30/1967","1","Hello Goodbye","The Beatles","Magical Mystery Tour (Remastered)"
"12/30/1967","75","I Am The Walrus","The Beatles","Magical Mystery Tour (Remastered)"
"01/06/1968","1","Hello Goodbye","The Beatles","Magical Mystery Tour (Remastered)"
"01/13/1968","1","Hello Goodbye","The Beatles","Magical Mystery Tour (Remastered)"
"01/20/1968","3","Hello Goodbye","The Beatles","Magical Mystery Tour (Remastered)"
"01/27/1968","6","Hello Goodbye","The Beatles","Magical Mystery Tour (Remastered)"
"02/03/1968","12","Hello Goodbye","The Beatles","Magical Mystery Tour (Remastered)"
"02/10/1968","31","Hello Goodbye","The Beatles","Magical Mystery Tour (Remastered)"
"03/23/1968","23","Lady Madonna","The Beatles","1 (Remastered)"
"03/30/1968","9","Lady Madonna","The Beatles","1 (Remastered)"
"03/30/1968","96","The Inner Light","The Beatles","The Beatles"
"04/06/1968","7","Lady Madonna","The Beatles","1 (Remastered)"
"04/13/1968","6","Lady Madonna","The Beatles","1 (Remastered)"
"04/20/1968","4","Lady Madonna","The Beatles","1 (Remastered)"
"04/27/1968","4","Lady Madonna","The Beatles","1 (Remastered)"
"05/04/1968","4","Lady Madonna","The Beatles","1 (Remastered)"
"05/11/1968","10","Lady Madonna","The Beatles","1 (Remastered)"
"05/18/1968","15","Lady Madonna","The Beatles","1 (Remastered)"
"05/25/1968","31","Lady Madonna","The Beatles","1 (Remastered)"
"06/01/1968","44","Lady Madonna","The Beatles","1 (Remastered)"
"09/14/1968","10","Hey Jude","The Beatles","1 (Remastered)"
"09/14/1968","38","Revolution","The Beatles","The Beatles (Remastered)"
"09/21/1968","3","Hey Jude","The Beatles","1 (Remastered)"
"09/21/1968","12","Revolution","The Beatles","The Beatles (Remastered)"
"09/28/1968","1","Hey Jude","The Beatles","1 (Remastered)"
"09/28/1968","12","Revolution","The Beatles","The Beatles (Remastered)"
"10/05/1968","1","Hey Jude","The Beatles","1 (Remastered)"
"10/05/1968","12","Revolution","The Beatles","The Beatles (Remastered)"
"10/12/1968","1","Hey Jude","The Beatles","1 (Remastered)"
"10/12/1968","15","Revolution","The Beatles","The Beatles (Remastered)"
"10/19/1968","1","Hey Jude","The Beatles","1 (Remastered)"
"10/19/1968","17","Revolution","The Beatles","The Beatles (Remastered)"
"10/26/1968","1","Hey Jude","The Beatles","1 (Remastered)"
"10/26/1968","17","Revolution","The Beatles","The Beatles (Remastered)"
"11/02/1968","1","Hey Jude","The Beatles","1 (Remastered)"
"11/02/1968","19","Revolution","The Beatles","The Beatles (Remastered)"
"11/09/1968","1","Hey Jude","The Beatles","1 (Remastered)"
"11/09/1968","19","Revolution","The Beatles","The Beatles (Remastered)"
"11/16/1968","1","Hey Jude","The Beatles","1 (Remastered)"
"11/16/1968","20","Revolution","The Beatles","The Beatles (Remastered)"
"11/23/1968","1","Hey Jude","The Beatles","1 (Remastered)"
"11/23/1968","29","Revolution","The Beatles","The Beatles (Remastered)"
"11/30/1968","2","Hey Jude","The Beatles","1 (Remastered)"
"12/07/1968","2","Hey Jude","The Beatles","1 (Remastered)"
"12/14/1968","6","Hey Jude","The Beatles","1 (Remastered)"
"12/21/1968","11","Hey Jude","The Beatles","1 (Remastered)"
"12/28/1968","15","Hey Jude","The Beatles","1 (Remastered)"
"01/04/1969","23","Hey Jude","The Beatles","1 (Remastered)"
"01/11/1969","30","Hey Jude","The Beatles","1 (Remastered)"
"01/18/1969","38","Hey Jude","The Beatles","1 (Remastered)"
"05/10/1969","10","Get Back","The Beatles","Let It Be (Remastered)"
"05/10/1969","40","Don't Let Me Down","The Beatles","Let It Be... Naked (Remastered)"
"05/17/1969","3","Get Back","The Beatles","Let It Be (Remastered)"
"05/17/1969","36","Don't Let Me Down","The Beatles","Let It Be... Naked (Remastered)"
"05/24/1969","1","Get Back","The Beatles","Let It Be (Remastered)"
"05/24/1969","35","Don't Let Me Down","The Beatles","Let It Be... Naked (Remastered)"
"05/31/1969","1","Get Back","The Beatles","Let It Be (Remastered)"
"05/31/1969","42","Don't Let Me Down","The Beatles","Let It Be... Naked (Remastered)"
"06/07/1969","1","Get Back","The Beatles","Let It Be (Remastered)"
"06/14/1969","1","Get Back","The Beatles","Let It Be (Remastered)"
"06/14/1969","71","The Ballad Of John And Yoko","The Beatles","1 (Remastered)"
"06/21/1969","1","Get Back","The Beatles","Let It Be (Remastered)"
"06/21/1969","24","The Ballad Of John And Yoko","The Beatles","1 (Remastered)"
"06/28/1969","3","Get Back","The Beatles","Let It Be (Remastered)"
"06/28/1969","11","The Ballad Of John And Yoko","The Beatles","1 (Remastered)"
"07/05/1969","6","Get Back","The Beatles","Let It Be (Remastered)"
"07/05/1969","11","The Ballad Of John And Yoko","The Beatles","1 (Remastered)"
"07/12/1969","8","The Ballad Of John And Yoko","The Beatles","1 (Remastered)"
"07/12/1969","12","Get Back","The Beatles","Let It Be (Remastered)"
"07/19/1969","8","The Ballad Of John And Yoko","The Beatles","1 (Remastered)"
"07/19/1969","16","Get Back","The Beatles","Let It Be (Remastered)"
"07/26/1969","8","The Ballad Of John And Yoko","The Beatles","1 (Remastered)"
"07/26/1969","27","Get Back","The Beatles","Let It Be (Remastered)"
"08/02/1969","10","The Ballad Of John And Yoko","The Beatles","1 (Remastered)"
"08/09/1969","29","The Ballad Of John And Yoko","The Beatles","1 (Remastered)"
"10/18/1969","20","Something","The Beatles","Abbey Road (Remastered)"
"10/18/1969","23","Come Together/Something","The Beatles","Bornagen Beatles - The Beatles Megamix"
"10/25/1969","11","Something","The Beatles","Abbey Road (Remastered)"
"10/25/1969","13","Come Together/Something","The Beatles","Bornagen Beatles - The Beatles Megamix"
"11/01/1969","10","Come Together/Something","The Beatles","Bornagen Beatles - The Beatles Megamix"
"11/01/1969","11","Something","The Beatles","Abbey Road (Remastered)"
"11/08/1969","3","Come Together/Something","The Beatles","Bornagen Beatles - The Beatles Megamix"
"11/08/1969","9","Something","The Beatles","Abbey Road (Remastered)"
"11/15/1969","2","Come Together/Something","The Beatles","Bornagen Beatles - The Beatles Megamix"
"11/15/1969","3","Something","The Beatles","Abbey Road (Remastered)"
"11/22/1969","3","Something","The Beatles","Abbey Road (Remastered)"
"11/22/1969","7","Come Together/Something","The Beatles","Bornagen Beatles - The Beatles Megamix"
"11/29/1969","1","Come Together/Something","The Beatles","Bornagen Beatles - The Beatles Megamix"
"12/06/1969","3","Come Together/Something","The Beatles","Bornagen Beatles - The Beatles Megamix"
"12/13/1969","4","Come Together/Something","The Beatles","Bornagen Beatles - The Beatles Megamix"
"12/20/1969","6","Come Together/Something","The Beatles","Bornagen Beatles - The Beatles Megamix"
"12/27/1969","7","Come Together/Something","The Beatles","Bornagen Beatles - The Beatles Megamix"
"01/03/1970","12","Come Together/Something","The Beatles","Bornagen Beatles - The Beatles Megamix"
"01/10/1970","16","Come Together/Something","The Beatles","Bornagen Beatles - The Beatles Megamix"
"01/17/1970","20","Come Together/Something","The Beatles","Bornagen Beatles - The Beatles Megamix"
"01/24/1970","22","Come Together/Something","The Beatles","Bornagen Beatles - The Beatles Megamix"
"01/31/1970","29","Come Together/Something","The Beatles","Bornagen Beatles - The Beatles Megamix"
"03/21/1970","6","Let It Be","The Beatles","Let It Be (Remastered)"
"03/28/1970","2","Let It Be","The Beatles","Let It Be (Remastered)"
"04/04/1970","2","Let It Be","The Beatles","Let It Be (Remastered)"
"04/11/1970","1","Let It Be","The Beatles","Let It Be (Remastered)"
"04/18/1970","1","Let It Be","The Beatles","Let It Be (Remastered)"
"04/25/1970","2","Let It Be","The Beatles","Let It Be (Remastered)"
"05/02/1970","2","Let It Be","The Beatles","Let It Be (Remastered)"
"05/09/1970","3","Let It Be","The Beatles","Let It Be (Remastered)"
"05/16/1970","4","Let It Be","The Beatles","Let It Be (Remastered)"
"05/23/1970","6","Let It Be","The Beatles","Let It Be (Remastered)"
"05/23/1970","35","The Long And Winding Road/For You Blue","The Beatles","none"
"05/30/1970","10","Let It Be","The Beatles","Let It Be (Remastered)"
"05/30/1970","12","The Long And Winding Road/For You Blue","The Beatles","none"
"06/06/1970","10","The Long And Winding Road/For You Blue","The Beatles","none"
"06/06/1970","21","Let It Be","The Beatles","Let It Be (Remastered)"
"06/13/1970","1","The Long And Winding Road/For You Blue","The Beatles","none"
"06/13/1970","23","Let It Be","The Beatles","Let It Be (Remastered)"
"06/20/1970","1","The Long And Winding Road/For You Blue","The Beatles","none"
"06/20/1970","44","Let It Be","The Beatles","Let It Be (Remastered)"
"06/27/1970","4","The Long And Winding Road/For You Blue","The Beatles","none"
"07/04/1970","4","The Long And Winding Road/For You Blue","The Beatles","none"
"07/11/1970","8","The Long And Winding Road/For You Blue","The Beatles","none"
"07/18/1970","20","The Long And Winding Road/For You Blue","The Beatles","none"
"07/25/1970","21","The Long And Winding Road/For You Blue","The Beatles","none"
"06/12/1976","54","Got To Get You Into My Life","The Beatles","Revolver (Remastered)"
"06/19/1976","29","Got To Get You Into My Life","The Beatles","Revolver (Remastered)"
"06/26/1976","18","Got To Get You Into My Life","The Beatles","Revolver (Remastered)"
"07/03/1976","12","Got To Get You Into My Life","The Beatles","Revolver (Remastered)"
"07/10/1976","10","Got To Get You Into My Life","The Beatles","Revolver (Remastered)"
"07/17/1976","8","Got To Get You Into My Life","The Beatles","Revolver (Remastered)"
"07/24/1976","7","Got To Get You Into My Life","The Beatles","Revolver (Remastered)"
"07/31/1976","7","Got To Get You Into My Life","The Beatles","Revolver (Remastered)"
"08/07/1976","7","Got To Get You Into My Life","The Beatles","Revolver (Remastered)"
"08/14/1976","19","Got To Get You Into My Life","The Beatles","Revolver (Remastered)"
"08/21/1976","23","Got To Get You Into My Life","The Beatles","Revolver (Remastered)"
"08/28/1976","38","Got To Get You Into My Life","The Beatles","Revolver (Remastered)"
"09/04/1976","53","Got To Get You Into My Life","The Beatles","Revolver (Remastered)"
"09/11/1976","60","Got To Get You Into My Life","The Beatles","Revolver (Remastered)"
"09/18/1976","59","Got To Get You Into My Life","The Beatles","Revolver (Remastered)"
"09/25/1976","99","Got To Get You Into My Life","The Beatles","Revolver (Remastered)"
"09/16/1978","87","Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends","The Beatles","Marching with the Beatles"
"09/23/1978","83","Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends","The Beatles","Marching with the Beatles"
"09/30/1978","71","Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends","The Beatles","Marching with the Beatles"
"10/07/1978","71","Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends","The Beatles","Marching with the Beatles"
"10/14/1978","75","Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends","The Beatles","Marching with the Beatles"
"10/21/1978","94","Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends","The Beatles","Marching with the Beatles"
"10/28/1978","91","Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends","The Beatles","Marching with the Beatles"
"03/27/1982","70","The Beatles' Movie Medley","The Beatles","none"
"04/03/1982","50","The Beatles' Movie Medley","The Beatles","none"
"04/10/1982","34","The Beatles' Movie Medley","The Beatles","none"
"04/17/1982","22","The Beatles' Movie Medley","The Beatles","none"
"04/24/1982","17","The Beatles' Movie Medley","The Beatles","none"
"05/01/1982","14","The Beatles' Movie Medley","The Beatles","none"
"05/08/1982","12","The Beatles' Movie Medley","The Beatles","none"
"05/15/1982","12","The Beatles' Movie Medley","The Beatles","none"
"05/22/1982","12","The Beatles' Movie Medley","The Beatles","none"
"05/29/1982","20","The Beatles' Movie Medley","The Beatles","none"
"06/05/1982","92","The Beatles' Movie Medley","The Beatles","none"
"08/09/1986","89","Twist And Shout","The Beatles","Please Please Me (Remastered)"
"08/16/1986","65","Twist And Shout","The Beatles","Please Please Me (Remastered)"
"08/23/1986","55","Twist And Shout","The Beatles","Please Please Me (Remastered)"
"08/30/1986","39","Twist And Shout","The Beatles","Please Please Me (Remastered)"
"09/06/1986","32","Twist And Shout","The Beatles","Please Please Me (Remastered)"
"09/13/1986","29","Twist And Shout","The Beatles","Please Please Me (Remastered)"
"09/20/1986","25","Twist And Shout","The Beatles","Please Please Me (Remastered)"
"09/27/1986","23","Twist And Shout","The Beatles","Please Please Me (Remastered)"
"10/04/1986","26","Twist And Shout","The Beatles","Please Please Me (Remastered)"
"10/11/1986","36","Twist And Shout","The Beatles","Please Please Me (Remastered)"
"10/18/1986","47","Twist And Shout","The Beatles","Please Please Me (Remastered)"
"10/25/1986","56","Twist And Shout","The Beatles","Please Please Me (Remastered)"
"11/01/1986","71","Twist And Shout","The Beatles","Please Please Me (Remastered)"
"11/08/1986","75","Twist And Shout","The Beatles","Please Please Me (Remastered)"
"11/15/1986","99","Twist And Shout","The Beatles","Please Please Me (Remastered)"
"04/22/1995","67","Baby It's You","The Beatles","Please Please Me (Remastered)"
"04/29/1995","79","Baby It's You","The Beatles","Please Please Me (Remastered)"
"05/06/1995","89","Baby It's You","The Beatles","Please Please Me (Remastered)"
"05/13/1995","99","Baby It's You","The Beatles","Please Please Me (Remastered)"
"12/30/1995","10","Free As A Bird","The Beatles","Panpipes Play The Beatles"
"01/06/1996","6","Free As A Bird","The Beatles","Panpipes Play The Beatles"
"01/13/1996","15","Free As A Bird","The Beatles","Panpipes Play The Beatles"
"01/20/1996","32","Free As A Bird","The Beatles","Panpipes Play The Beatles"
"01/27/1996","57","Free As A Bird","The Beatles","Panpipes Play The Beatles"
"02/03/1996","63","Free As A Bird","The Beatles","Panpipes Play The Beatles"
"02/10/1996","77","Free As A Bird","The Beatles","Panpipes Play The Beatles"
"02/17/1996","91","Free As A Bird","The Beatles","Panpipes Play The Beatles"
"02/24/1996","98","Free As A Bird","The Beatles","Panpipes Play The Beatles"
"03/02/1996","93","Free As A Bird","The Beatles","Panpipes Play The Beatles"
"03/09/1996","99","Free As A Bird","The Beatles","Panpipes Play The Beatles"
"03/23/1996","11","Real Love","The Beatles","Panpipes Play The Beatles"
"03/30/1996","26","Real Love","The Beatles","Panpipes Play The Beatles"
"04/06/1996","21","Real Love","The Beatles","Panpipes Play The Beatles"
"04/13/1996","54","Real Love","The Beatles","Panpipes Play The Beatles"
"04/20/1996","60","Real Love","The Beatles","Panpipes Play The Beatles"
"04/27/1996","70","Real Love","The Beatles","Panpipes Play The Beatles"
"05/04/1996","88","Real Love","The Beatles","Panpipes Play The Beatles"
